"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Yichuan Jiang,Southeast University,cn,Bo An 0001,Nanyang Technological University,sg,2020,tcss
Feifei Chen 0001,Deakin University,au,Xuyun Zhang,Macquarie University,au,2019,tcss
Feifei Chen 0001,Deakin University,au,Qiang He 0001,Swinburne University of Technology,au,2019,tcss
Feifei Chen 0001,Deakin University,au,Xiaolong Xu 0001,Nanjing University,cn,2019,tcss
Feifei Chen 0001,Deakin University,au,Lianyong Qi,Qufu Normal University,cn,2019,tcss
Feifei Chen 0001,Deakin University,au,Wanchun Dou,Nanjing University,cn,2019,tcss
Feifei Chen 0001,Deakin University,au,Shaohua Wan,Zhongnan University of Economics and Law,cn,2019,tcss
Bo An 0001,Nanyang Technological University,sg,Wanyuan Wang,Southeast University,cn,2020,tcss
Bo An 0001,Nanyang Technological University,sg,Yichuan Jiang,Southeast University,cn,2020,tcss
Vasileios Karyotis,Ionian University,gr,Eleni Stai,EPFL,us,2018,tcss
Vasileios Karyotis,Ionian University,gr,Symeon Papavassiliou,University of Athens,us,2018,tcss
Vasileios Karyotis,Ionian University,gr,Eirini Milaiou,University of Athens,us,2018,tcss
Vasileios Karyotis,Ionian University,gr,Konstantinos Tsitseklis,University of Athens,us,2021,tcss
Vasileios Karyotis,Ionian University,gr,Symeon Papavassiliou,University of Athens,us,2021,tcss
Vasileios Karyotis,Ionian University,gr,Margarita Vitoropoulou,University of Athens,us,2021,tcss
Shiyan Hu,Michigan Technological University,us,Yang Liu 0064,Michigan Technological University,us,2015,tcss
Sankar K. Pal,Indian Statistical Institute,in,Suman Kundu,Wrocław University of Science and Technology,pl,2018,tcss
Subrata Nandi,National Institute of Technology,in,Niloy Ganguly,IIT Kharagpur,in,2020,tcss
Subrata Nandi,National Institute of Technology,in,Bivas Mitra,IIT Kharagpur,in,2020,tcss
Subrata Nandi,National Institute of Technology,in,Kingshuk De,National Institute of Technology,in,2020,tcss
Subrata Nandi,National Institute of Technology,in,Sujoy Saha,National Institute of Technology,in,2020,tcss
Subrata Nandi,National Institute of Technology,in,Aviral Shrivastava,IIT Kharagpur,in,2020,tcss
Subrata Nandi,National Institute of Technology,in,Sandip Chakraborty,IIT Kharagpur,in,2020,tcss
Poonam Yadav,University of Cambridge,us,François Grey,University of Geneva,ch,2018,tcss
Poonam Yadav,University of Cambridge,us,Jeremy Cohen,Imperial College London,us,2018,tcss
Poonam Yadav,University of Cambridge,us,Ioannis Charalampidis,CERN,ch,2018,tcss
Poonam Yadav,University of Cambridge,us,John Darlington,Imperial College London,us,2018,tcss
Sudip Misra,IIT Kharagpur,in,Sumit Goswami,IIT Kharagpur,in,2016,tcss
Ling Tian,UESTC,cn,Guangchun Luo,UESTC,cn,2019,tcss
Ling Tian,UESTC,cn,Zhipeng Cai 0001,Georgia State University,us,2019,tcss
Ling Tian,UESTC,cn,Yubao Wu,Georgia State University,us,2019,tcss
Ling Tian,UESTC,cn,Wenyi Tang,UESTC,cn,2019,tcss
